,img,title,link,stepbystep,cuisine,portions,time,ingredients,favourite,likes,dislikes
10,https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131082342-170428120255-p-O-indejka-s-jablokami-i-lukom.jpg,Индейка с яблоками и луком,https://eda.ru/recepty/osnovnye-blyuda/indejka-s-jablokami-i-lukom-35274,0,Американская кухня,2,15 минут,"['{""id"": 13768, ""name"": ""Индейка"", ""amount"": ""300 г""}', '{""id"": 15371, ""name"": ""Лук"", ""amount"": ""1 головка""}', '{""id"": 13447, ""name"": ""Яблоко"", ""amount"": ""1 штука""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""1 столовая ложка""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13994, ""name"": ""Подсолнечное масло"", ""amount"": ""1 столовая ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",6296,592,49
11,https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131083923-120213175245-p-O-ris-s-jajcom-po-kitajski.jpg,Рис с яйцом по‑китайски,https://eda.ru/recepty/osnovnye-blyuda/ris-s-jajcom-po-kitajski-15759,0,Китайская кухня,4,30 минут,"['{""id"": 13849, ""name"": ""Длиннозерный рис"", ""amount"": ""150 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 зубчика""}', '{""id"": 13535, ""name"": ""Зеленый лук"", ""amount"": ""5 штук""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13415, ""name"": ""Зеленый горошек"", ""amount"": ""125 г""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""1 столовая ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",7394,537,73
12,https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/140812180013-140827002004-p-O-kurinoe-file-s-sousom-grechkoj.jpg,Куриное филе с соусом и гречкой,https://eda.ru/recepty/osnovnye-blyuda/kurinoe-file-s-sousom-grechkoj-17499,0,,4,40 минут,"['{""id"": 13564, ""name"": ""Гречневая крупа"", ""amount"": ""200 г""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""4 штуки""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 головка""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""150 г""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""100 мл""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""2 чайные ложки""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""по вкусу""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""1 столовая ложка""}']",7808,534,89
13,https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131082709-120213175636-p-O-kartofelnaya-zapekanka-s-solenym-ogurcom.jpg,Картофельная запеканка с соленым огурцом,https://eda.ru/recepty/osnovnye-blyuda/kartofelnaya-zapekanka-s-solenym-ogurcom-16894,0,,6,1 час,"['{""id"": 13680, ""name"": ""Фарш"", ""amount"": ""400 г""}', '{""id"": 13431, ""name"": ""Картофель"", ""amount"": ""300 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""2 головки""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""100 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13440, ""name"": ""Майонез"", ""amount"": ""100 г""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13443, ""name"": ""Соленые огурцы"", ""amount"": ""1 штука""}']",8881,534,127
14,https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/160717170530-160725232715-p-O-kurinoe-file-s-gribami-i-sirom.jpg,Куриное филе с грибами и сыром,https://eda.ru/recepty/osnovnye-blyuda/kurinoe-file-s-gribami-i-sirom-16157,0,Французская кухня,4,50 минут,"['{""id"": 13509, ""name"": ""Шампиньоны"", ""amount"": ""200 г""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""500 г""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""150 г""}', '{""id"": 13440, ""name"": ""Майонез"", ""amount"": ""150 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 штука""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""1 пучок""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""150 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",8382,505,39
15,https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131084941-120214160730-p-O-kurica-zapechennaja-v-hrustjaschej-korochke-s-imbirem-apelsinami.jpg,"Курица, запеченная в хрустящей корочке, с…",https://eda.ru/recepty/osnovnye-blyuda/kurica-zapechennaja-v-hrustjaschej-korochke-s-imbirem-apelsinami-30720,1,Испанская кухня,4,1 час 40 минут,"['{""id"": 13566, ""name"": ""Курица"", ""amount"": ""1 штука""}', '{""id"": 14127, ""name"": ""Цветочный мед"", ""amount"": ""4 столовые ложки""}', '{""id"": 13516, ""name"": ""Апельсины"", ""amount"": ""2 штуки""}', '{""id"": 13416, ""name"": ""Тертый имбирь"", ""amount"": ""40 г""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""3 столовые ложки""}', '{""id"": 14139, ""name"": ""Специи"", ""amount"": ""по вкусу""}', '{""id"": 14437, ""name"": ""Крупная соль"", ""amount"": ""по вкусу""}', '{""id"": 13465, ""name"": ""Молотый красный перец"", ""amount"": ""по вкусу""}']",7783,497,55
16,https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131083243-170715230032-p-O-ratatuy-mishelya-gerara-so-svezhimi-ovoschami.jpg,Рататуй Мишеля Герара со свежими овощами,https://eda.ru/recepty/osnovnye-blyuda/ratatuy-mishelya-gerara-so-svezhimi-ovoschami-21334,0,Французская кухня,6,3 часа,"['{""id"": 15864, ""name"": ""Сладкий перец"", ""amount"": ""6 штук""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""8 зубчиков""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""2 головки""}', '{""id"": 13471, ""name"": ""Баклажаны"", ""amount"": ""4 штуки""}', '{""id"": 13582, ""name"": ""Цукини"", ""amount"": ""2 штуки""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""6 штук""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""50 г""}', '{""id"": 13466, ""name"": ""Тимьян"", ""amount"": ""2 штуки""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""100 мл""}', '{""id"": 13460, ""name"": ""Лавровый лист"", ""amount"": ""2 штуки""}', '{""id"": 13422, ""name"": ""Уксус"", ""amount"": ""2 столовые ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",7184,477,64
17,https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/130713154821-130724120704-p-O-burrito.jpg,Буррито,https://eda.ru/recepty/osnovnye-blyuda/burrito-20416,0,Мексиканская кухня,6,30 минут,"['{""id"": 14276, ""name"": ""Тортильи"", ""amount"": ""6 штук""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""600 г""}', '{""id"": 13435, ""name"": ""Рис"", ""amount"": ""200 г""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""4 штуки""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""2 головки""}', '{""id"": 15864, ""name"": ""Сладкий перец"", ""amount"": ""3 штуки""}', '{""id"": 13586, ""name"": ""Зелень"", ""amount"": ""100 г""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""150 г""}', '{""id"": 13772, ""name"": ""Кетчуп"", ""amount"": ""100 г""}']",7959,450,61
18,https://img03.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131085121-120213175547-p-O-kurica-v-slivochnom-souse-karri-s-ananasom.jpg,Курица в сливочном соусе карри с ананасом,https://eda.ru/recepty/osnovnye-blyuda/kurica-v-slivochnom-souse-karri-s-ananasom-16642,0,Индийская кухня,4,1 час,"['{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13663, ""name"": ""Консервированный ананас"", ""amount"": ""1 банка""}', '{""id"": 13832, ""name"": ""Сливки 20%-ные"", ""amount"": ""200 мл""}', '{""id"": 13572, ""name"": ""Карри"", ""amount"": ""2 столовые ложки""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 штука""}', '{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""500 г""}']",4977,437,46
19,https://img07.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/150307165038-150609134938-p-O-guljash-iz-govjadini.jpg,Гуляш из говядины,https://eda.ru/recepty/osnovnye-blyuda/guljash-iz-govjadini-19278,0,Венгерская кухня,4,3 часа,"['{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""800 г""}', '{""id"": 13592, ""name"": ""Паприка"", ""amount"": ""30 г""}', '{""id"": 13685, ""name"": ""Говяжьи голяшки"", ""amount"": ""800 г""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""1 зубчик""}', '{""id"": 13520, ""name"": ""Томатная паста "", ""amount"": ""1 столовая ложка""}', '{""id"": 14352, ""name"": ""Молотый кумин (зира) "", ""amount"": ""щепотка""}', '{""id"": 13593, ""name"": ""Бальзамический уксус"", ""amount"": ""1 столовая ложка""}', '{""id"": 13917, ""name"": ""Майоран"", ""amount"": ""щепотка""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""30 мл""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 столовая ложка""}', '{""id"": 13594, ""name"": ""Красное сухое вино"", ""amount"": ""150 г""}', '{""id"": 13427, ""name"": ""Лимон"", ""amount"": ""1 штука""}', '{""id"": 13460, ""name"": ""Лавровый лист"", ""amount"": ""2 штуки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",5205,436,48
20,https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120213184513-120213184800-p-O-govjadina-po-stroganovski-befstroganov.jpg,Говядина по‑строгановски (бефстроганов),https://eda.ru/recepty/osnovnye-blyuda/govjadina-po-stroganovski-befstroganov-21112,0,Русская кухня,4,,"['{""id"": 13469, ""name"": ""Говядина"", ""amount"": ""400 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""2 штуки""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""200 г""}', '{""id"": 13520, ""name"": ""Томатная паста "", ""amount"": ""2 столовые ложки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 столовая ложка""}', '{""id"": 14126, ""name"": ""Рубленая петрушка"", ""amount"": ""2 столовые ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""50 мл""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",6986,434,49
21,https://img03.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120515204458-161130145255-p-O-rublenie-kurinie-kotleti-s-gribami-zelenim-bazilikom.jpg,Рубленые куриные котлеты с грибами и зеленым…,https://eda.ru/recepty/osnovnye-blyuda/rublenie-kurinie-kotleti-s-gribami-zelenim-bazilikom-19745,0,,6,1 час,"['{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""600 г""}', '{""id"": 13939, ""name"": ""Свежие шампиньоны"", ""amount"": ""300 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""2 головки""}', '{""id"": 13474, ""name"": ""Сливки"", ""amount"": ""150 г""}', '{""id"": 13454, ""name"": ""Белый хлеб"", ""amount"": ""150 г""}', '{""id"": 13993, ""name"": ""Зеленый базилик "", ""amount"": ""20 г""}', '{""id"": 13911, ""name"": ""Мадера"", ""amount"": ""50 г""}', '{""id"": 13615, ""name"": ""Мускатный орех"", ""amount"": ""щепотка""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""50 г""}', '{""id"": 13527, ""name"": ""Рафинированное масло"", ""amount"": ""4 столовые ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 чайная ложка""}']",6499,432,36
22,https://img03.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/140601161438-140617120605-p-O-lenivie-vareniki-s-tvorogom.jpg,Ленивые вареники с творогом,https://eda.ru/recepty/osnovnye-blyuda/lenivie-vareniki-s-tvorogom-31245,0,Русская кухня,4,15 минут,"['{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 столовая ложка""}', '{""id"": 14262, ""name"": ""Сухой творог"", ""amount"": ""400 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 стакан""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",7789,423,50
23,https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131085403-160202195105-p-O-mjaso-po-francuzski-s-kartofelem-gribami.jpg,Мясо по‑французски с картофелем и грибами,https://eda.ru/recepty/osnovnye-blyuda/mjaso-po-francuzski-s-kartofelem-gribami-16431,0,Французская кухня,4,1 час 30 минут,"['{""id"": 13431, ""name"": ""Картофель"", ""amount"": ""10 штук""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""800 г""}', '{""id"": 13480, ""name"": ""Свинина"", ""amount"": ""800 г""}', '{""id"": 13509, ""name"": ""Шампиньоны"", ""amount"": ""300 г""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""800 г""}', '{""id"": 13440, ""name"": ""Майонез"", ""amount"": ""250 г""}']",7583,422,57
24,https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120213181523-120214132640-p-O-uzbekskij-plov-s-kuricej.jpg,Узбекский плов с курицей,https://eda.ru/recepty/osnovnye-blyuda/uzbekskij-plov-s-kuricej-25378,0,Узбекская кухня,6,2 часа 10 минут,"['{""id"": 13639, ""name"": ""Куриная грудка"", ""amount"": ""500 г""}', '{""id"": 14199, ""name"": ""Жасминовый рис"", ""amount"": ""500 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""300 г""}', '{""id"": 13449, ""name"": ""Морковь"", ""amount"": ""500 г""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 головки""}', '{""id"": 16080, ""name"": ""Специи для плова"", ""amount"": ""1 чайная ложка""}']",5194,408,51
25,https://img03.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131085505-120213175049-p-O-tvorozhnaja-zapekanka-s-jagodnim-siropom.jpg,Творожная запеканка с ягодным сиропом,https://eda.ru/recepty/osnovnye-blyuda/tvorozhnaja-zapekanka-s-jagodnim-siropom-15217,0,,4,,"['{""id"": 13493, ""name"": ""Творог"", ""amount"": ""500 г""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""3 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""3 столовые ложки""}', '{""id"": 13434, ""name"": ""Изюм"", ""amount"": ""100 г""}', '{""id"": 13455, ""name"": ""Манная крупа"", ""amount"": ""2 столовые ложки""}', '{""id"": 13671, ""name"": ""Ванилин"", ""amount"": ""по вкусу""}', '{""id"": 13895, ""name"": ""Ягодный сироп"", ""amount"": ""1 стакан""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""3 столовые ложки""}']",6451,385,46
